store_id,name,deadline_days,deadline_time,keywords,always_open,fixed_note,memo
cb_ch,큐브이스케이프 천호점,,,"THE CUBE,더큐브,THE MAZE,더메이즈,장기밀매PART2,사라진천사들,마녀의꿈,장미의비밀,피고인",1,,http://cheonho.cubeescape.co.kr/
cb_hd,큐브이스케이프 홍대점,,,"피라미드의비밀,헨젤과그레텔,TOWERING,타워링,게슈타포,게스타포,GESTAPO,몽키하우스,장기밀매,DELIVER,딜리버,로미오포인트",1,,http://cubeescape.co.kr/
clv_tw,클레버타운,6,0:00,"난너의보이,좌뇌우뇌연구소,난너보,좌우연",,,https://clevertown.co.kr/
clv_tw,클레버타운,13,0:00,"가암성당,감성당",,,https://clevertown.co.kr/
key_log1,키이스케이프 LOG_IN1,6,10:00,"포프리,FOR FREE,머니머니패키지,머머패",,,https://www.keyescape.com
key_log2,키이스케이프 LOG_IN2,6,10:00,"어젠틀먼데이,어젠먼,AGENTLEMONDAY,백투더씬,백씬,백신,빽씬,BACK TO THE SCENE",,,https://www.keyescape.com
key_st,키이스케이프 STATION,6,11:30,"머니머니부동산,머머부,NOSTELGIA VISTA,노스텔지아비스타,내방",,,https://www.keyescape.com
key_to,키이스케이프 강남 더오름,6,10:00,"NERD,네드,ANGELIO,엔제리오",,,https://www.keyescape.com
key_gn,키이스케이프 강남점,13,18:00,"그카지말라캤자나,살살연,살랑살랑연구소,월야애담",,,https://www.keyescape.com
key_mc,키이스케이프 메모리컴퍼니,6,10:30,"FILM BY EDDY,필름바이에디,필바에,FILM BY STEVE,필름바이스티브,필바스,FILM BY BOB,필름바이밥,필바밥",,,https://www.keyescape.com
key_mm,키이스케이프 무비무드,6,13:30,"해브어굿테이프데이브,HAVE A GOOD TAPE DAVE,캣츠락,CAT'SLOCK,시아와세환전소,애프터라이프에어라인,AFTERLIFE AIRLINES,5관E열4번,오관이열사번,원스오븐어타임,ONCE OVEN A TIME",,,https://www.keyescape.com
key_bs,키이스케이프 부산점,13,18:00,"난쟁이의장난,신비의숲고대마법의비밀,정신병동,파파라치,셜록죽음의전화",,,https://www.keyescape.com
key_wl,키이스케이프 우주라이크,6,10:00,"어스,US,WANNA GO HOME,워너고홈",,,https://www.keyescape.com
key_jj,키이스케이프 전주점,13,18:00,"사라진목격자,혜화잡화점,살랑살랑연구소,살살연,월야애담",,,https://www.keyescape.com
key_hd,키이스케이프 홍대점,13,20:00,"삐릿뽀,삐리뽀,삐릿-뽀,홀리데이,HOLYDAY,고백",,,https://www.keyescape.com
key_wt,키이스케이프 후즈데어,6,11:00,"아야코,아야꼬,AYAKO,투투어드벤처,괴록,투투어드벤쳐",,,https://www.keyescape.com
key_el,키이스케이프X에버랜드 메모리카니발,6,0:00,"MEMORY OF POPPY,메모리오브파피,메모리오브포피,MEMORY OF TONY,메모리오브토니,MEMORY OF RICKY,메모리오브리키",,,https://reservation.everland.com/
